,pc0,pc1,type_rice
1039,2.124430441500105,-0.2623287465742811,Cammeo
2887,-1.712673660855093,-0.3605719695479126,Osmancik
944,0.6394110573085381,-1.1575867418510883,Cammeo
111,-0.3495653087793397,0.24350133710996733,Cammeo
1217,2.2105620556242513,-4.098851305315276,Cammeo
1374,0.44803419688807505,-0.34591683625335895,Cammeo
2484,-2.8845258152958593,0.40056992779746714,Osmancik
3387,-0.15953607511145962,2.504426769947789,Osmancik
2827,-1.6420869914905758,-0.27684652847378205,Osmancik
3106,0.08484203344114627,0.05213016111934915,Osmancik
2708,-0.07318958631363552,-0.3823001840298641,Osmancik
2252,-2.39851378887941,-0.6546233415262931,Osmancik
3663,0.6750206109786944,-0.11023023746685959,Osmancik
3399,0.7423551683107245,0.19647604140779612,Osmancik
17,2.90022690065831,0.5628829197242708,Cammeo
3014,-1.4323941087862244,2.581017577978128,Osmancik
316,0.7923275377594401,-0.43792963026589127,Cammeo
3410,0.9797401784772621,2.117533282232779,Osmancik
2863,-2.425228315564434,-0.5839678634502405,Osmancik
1491,0.979074841288322,0.04987103437834447,Cammeo
3468,0.36430516525986834,1.425322613096376,Osmancik
1331,1.2366740686482638,-0.305592954041348,Cammeo
2578,-1.9226428965477929,-0.08293672691375949,Osmancik
1880,-2.1086061000055034,0.6566048434261145,Osmancik
3013,0.34827976183629983,-1.3205411949356984,Osmancik
3411,-1.0550913698686855,-0.26740431634128314,Osmancik
2100,-2.0553419641102386,-0.3924709043003348,Osmancik
1823,-1.918367115570888,0.8133442944002856,Osmancik
369,2.2740619269169917,-1.0090520257147144,Cammeo
1184,5.334157813210255,-0.7519262031554816,Cammeo
743,2.8731002676453015,-0.7685962352878889,Cammeo
2901,-1.8243992946522336,0.2992824893572206,Osmancik
491,0.25960252820481444,-0.9900293925762961,Cammeo
1144,1.817635629943333,0.327165785181926,Cammeo
777,3.8033189331441113,-0.4114478413116842,Cammeo
2770,-5.246338099133341,-3.7044970589534665,Osmancik
1220,2.286807888956406,-0.06360243615081947,Cammeo
2389,-3.289361044271772,0.04422981368021938,Osmancik
204,2.7193566998170793,-0.3557605866634829,Cammeo
2725,0.46789980974587053,-1.3995265436302418,Osmancik
203,-1.0247440431222068,-1.9460379547276287,Cammeo
1563,-0.3861048102742908,-0.6169598859202026,Cammeo
3284,-2.300596595447115,-1.5063860411126901,Osmancik
3288,-0.2472032584896218,-0.8187352037078645,Osmancik
1369,-0.6675092176117887,-3.444750482094086,Cammeo
1629,0.4224844286453377,-1.9333912849124686,Cammeo
1414,0.7577958986801524,-0.5634574535777603,Cammeo
321,1.8118474595165808,1.9028651369156064,Cammeo
811,0.19954572597461948,-0.5216112558373048,Cammeo
10,2.809995712342281,-0.3790145684634948,Cammeo
1724,0.2951757919280028,0.48403725620160054,Osmancik
2269,-0.8599995862583133,1.6049127927984599,Osmancik
2944,-2.0725548593776173,-0.4411957610483593,Osmancik
1754,-0.2763830328142723,0.3161793136930588,Osmancik
513,1.588926268278206,0.1689779243645328,Cammeo
3177,-2.6227665173724115,-0.15555975743872194,Osmancik
1614,1.7549679467538735,-1.2450411066398521,Cammeo
118,2.0498956851881442,-0.2885927495092449,Cammeo
1911,-1.3086908708262497,-0.9855089350143402,Osmancik
3249,-1.1149414013433074,0.5035084899973977,Osmancik
1778,-0.36881359381182066,0.31701512458078085,Osmancik
1753,0.5047656710147171,-0.4339719796306904,Osmancik
3527,0.7141694559043915,0.3795309395949081,Osmancik
1229,1.2089191210037589,0.6562278559250593,Cammeo
1551,0.546493510078558,-1.5954728589471403,Cammeo
2657,-2.2317137060509764,-1.4929223371965363,Osmancik
2857,-2.9582139795712625,-0.709089884598907,Osmancik
2307,-1.4140344323315635,0.37692569941991977,Osmancik
1847,-2.510585891041338,-0.34983952653211264,Osmancik
2213,-1.963746135942474,1.1793487364309136,Osmancik
2434,-0.4176503939670527,2.621549190712595,Osmancik
946,3.1117623818026185,-0.7006183829514752,Cammeo
2911,-1.9222399492387967,1.6802574009889313,Osmancik
809,3.4292765369644544,0.9217837815381187,Cammeo
97,0.9055652786754187,-2.074783955659875,Cammeo
2850,-0.6686116320537246,0.7558976325361035,Osmancik
3494,-1.8713325547099817,-1.356136663319602,Osmancik
2562,0.09122678645716632,2.041183232095767,Osmancik
981,0.7924408588988445,-1.0112372036068544,Cammeo
1453,2.261631952821904,-1.002859599327786,Cammeo
3455,-0.4594589394440044,-0.7937027045601708,Osmancik
1731,-1.2745245160211656,1.0776452751323724,Osmancik
2151,-1.5809132434161124,-0.614248802767795,Osmancik
2420,-1.783488857501927,2.574778903535385,Osmancik
3027,-3.710075316463891,-2.430125975175513,Osmancik
446,-0.7507717478100122,-1.9625097109796883,Cammeo
306,-0.8574068332247157,-1.7439280124895562,Cammeo
2168,-0.9281758511947583,0.9963009710818765,Osmancik
1358,2.682930298981545,-0.2954340245107279,Cammeo
3367,-0.6293843618185588,-1.1564250289269666,Osmancik
2181,-0.8188637647223954,2.059453919454225,Osmancik
1066,0.830450470155996,0.3719879412870739,Cammeo
1547,2.41681379957201,-1.0629810381741545,Cammeo
275,3.4128228935710045,-0.8431569330005021,Cammeo
3788,-0.6199570228701875,2.3646138801137417,Osmancik
1143,4.011953234178644,2.015585633503226,Cammeo
3491,0.22419637246723872,1.5189536722781432,Osmancik
3598,-2.1478418605555545,-0.1519676962378785,Osmancik
195,2.398226568748394,-0.4784462242969801,Cammeo
895,-1.3430549908137264,-1.3700224289972318,Cammeo
3223,-0.732204721540377,0.1293065027049789,Osmancik
922,4.236793639620821,-0.8054138686534067,Cammeo
673,2.576993831176999,0.4989282051883832,Cammeo
2962,-2.26125158461906,0.23049516635216438,Osmancik
278,2.4930479550788682,-0.20625411574556476,Cammeo
447,3.606988324569646,0.18390662129708377,Cammeo
2602,-2.2964541082972323,-1.1569177411730869,Osmancik
192,2.253313173030678,-0.9129780279165172,Cammeo
2163,1.0202803781188394,0.8388441902498442,Osmancik
443,1.38124661158782,-1.5471299219961645,Cammeo
